meaning,count,attribute
금호로,17,0
금하로,17,0
금포로,17,0
17분,17,0
여의동로,17,0
18분,17,0
여의도공원,17,0
여의대방로,17,0
성동구주민지원센터,17,0
13살,17,0
성덕정길,17,0
12월,17,0
아리수로,17,0
긴고랑로,17,0
12분,17,0
기흥,17,0
12시간,17,0
성남대로,17,0
1350,17,0
충신길,17,0
충민로,17,0
성내로,17,0
기아로,17,0
성내천로,17,0
13분,17,0
성대로,17,0
여의대로,17,0
성북로,17,0
길음로,17,0
성산로,17,0
성중길,17,0
성지길,17,0
칠백억,17,0
성촌길,17,0
21분,17,0
성현로,17,0
세검정로,17,0
22분,17,0
23분,17,0
세무서길,17,0
흥천사길,17,0
세빛섬,17,0
24분,17,0
굴레방로,17,0
군포시청,17,0
20분,17,0
2,17,0
1호선,17,0
금오로,17,0
19분,17,0
1년,17,0
금정,17,0
성수이로,17,0
성수일로,17,0
성신여대입구,17,0
여의나루로,17,0
1일,17,0
여의공원로,17,0
성안로,17,0
성암로,17,0
1명,17,0
1분,17,0
1월,17,0
성균관로,17,0
12달,17,0
세종대로,17,0
서초중앙로,17,0
연서로,17,0
연무장길,17,0
10년,17,0
청파로,17,0
낙성대로,17,0
낙산길,17,0
낙산공원,17,0
체감,17,0
10달,17,0
10명,17,0
아리랑로,17,0
체험,17,0
연동로,17,0
초광로,17,0
나루터로,17,0
102900,17,0
난지캠핑장,17,0
난향길,17,0
남대문시장길,17,0
남산공원길,17,0
남산공원,17,0
청림길,17,0
서울랜드,17,0
희우정로,17,0
서울숲길,17,0
서울시립대로,17,0
서원길,17,0
남대문로,17,0
10,17,0
연신내,17,0
청와대,17,0
청와대로,17,0
연세로,17,0
서초대로,17,0
서해안로,17,0
12년,17,0
초록마을로,17,0
11,17,0
11년,17,0
선유로,17,0
11달,17,0
11분,17,0
총신대입구,17,0
11시,17,0
선유서로,17,0
선잠로,17,0
11시간,17,0
11월,17,0
1250,17,0
역삼로,17,0
섬밭로,17,0
역말로,17,0
10회,17,0
선사로,17,0
까치산로,17,0
초원로,17,0
10시,17,0
10시간,17,0
석계,17,0
석계로,17,0
연대동문길,17,0
초안산로,17,0
초지,17,0
10월,17,0
석촌,17,0
석촌호수,17,0
석촌호수로,17,0
연남로,17,0
선릉,17,0
선릉로,17,0
24살,17,0
여섯째,17,0
25분,17,0
26분,17,0
송정길,17,0
송이로,17,0
송월길,17,0
토정로,17,0
토성로,17,0
송림길,17,0
테헤란로,17,0
송동길,17,0
3분,17,0
3명,17,0
어울마당로,17,0
태흥길,17,0
구로동로,17,0
구룡길,17,0
38분,17,0
3달,17,0
태봉로,17,0
솔샘로,17,0
태릉입구,17,0
솔밭로,17,0
탑성말길,17,0
탑골로,17,0
솔매로,17,0
언남길,17,0
손기정로,17,0
탄천동로,17,0
3년,17,0
언주로,17,0
3시간,17,0
통인시장,17,0
통일로,17,0
송정로,17,0
수색로,17,0
41분,17,0
광성로,17,0
광신길,17,0
4,17,0
수명로,17,0
광운대,17,0
광운로,17,0
광장로,17,0
광장시장,17,0
판교,17,0
양평로,17,0
3회,17,0
수락산로,17,0
3호선,17,0
양화로,17,0
양화진길,17,0
3일,17,0
광평로,17,0
송파대로,17,0
송파나루길,17,0
교기,17,0
교대,17,0
송파나루공원,17,0
3월,17,0
퇴계로,17,0
송죽길,17,0
39분,17,0
구로중앙로,17,0
3800,17,0
국립민속박물관,17,0
국립중앙박물관,17,0
국사봉길,17,0
31분,17,0
소등,17,0
30분,17,0
흥인지문,17,0
2회,17,0
국제금융로,17,0
국회단지길,17,0
국회대로,17,0
소공로,17,0
2호선,17,0
셋째,17,0
2일,17,0
2월,17,0
군산시청,17,0
칠패로,17,0
2시간,17,0
여덞째,17,0
2시,17,0
군자,17,0
군자로,17,0
2분,17,0
2명,17,0
2달,17,0
2년,17,0
29분,17,0
28분,17,0
27분,17,0
국립서울현충원,17,0
가로수길,17,0
구의강변로,17,0
37분,17,0
구의로,17,0
35분,17,0
구암길,17,0
구일로,17,0
소월로,17,0
34분,17,0
36분,17,0
33분,17,0
소심,17,0
구천면로,17,0
소파로,17,0
큰우물로,17,0
3300,17,0
소사,17,0
32분,17,0
울보,16,0
울산,16,0
용마공원로,16,0
용돈,16,0
울진군수어통역센터,16,0
울릉도,16,0
위례중앙로,16,0
용품,16,0
울산광역시농아인협회,16,0
아르바이트,16,0
운동장,16,0
울산광역시청,16,0
울음소리,16,0
아주버님,16,0
우승,16,0
월세,16,0
울진군주민지원센터,16,0
울진군지부,16,0
아래,16,0
웃음소리,16,0
웃는척,16,0
운동경기,16,0
우승자,16,0
월요일,16,0
욕심,16,0
아산시수어통역센터,16,0
아첨,16,0
웃다,16,0
아차산,16,0
운전면허,16,0
월초,16,0
용인,16,0
운전면허정지,16,0
운전자,16,0
우물,16,0
용인대학교,16,0
울릉군수어통역센터,16,0
용인시수어통역센터,16,0
위스키,16,0
위선자,16,0
우즈베키스탄,16,0
원주시청,16,0
아산시지부,16,0
원한,16,0
용인시지부,16,0
울릉군주민지원센터,16,0
아산,16,0
아름답다,16,0
위로,16,0
우울,16,0
울릉군지부,16,0
용산구지부,16,0
용산구주민지원센터,16,0
용산,16,0
원활,16,0
원주시수어통역센터,16,0
원주,16,0
아산시청,16,0
용사,16,0
월급,16,0
운동화,16,0
위임,16,0
원주시지부,16,0
오십이,16,0
욕망,16,0
영주시수어통역센터,16,0
언약,16,0
얻어먹다,16,0
얼굴,16,0
얼굴이빨개지다,16,0
얼굴형,16,0
영주시청,16,0
엄청나다,16,0
엉뚱,16,0
에버랜드,16,0
영주시지부,16,0
여객선,16,0
여경,16,0
여공,16,0
영월군지부,16,0
영암군수어통역센터,16,0
여군,16,0
영월군주민지원센터,16,0
여대생,16,0
영월군수어통역센터,16,0
영어,16,0
영양군지부,16,0
여덟명,16,0
여덟배,16,0
여덟번째,16,0
여동생,16,0
영양군주민지원센터,16,0
영양군수어통역센터,16,0
영암군지부,16,0
영천시수어통역센터,16,0
어차피,16,0
어쩔 수 없다,16,0
어색하다,16,0
양주시수어통역센터,16,0
양주시지부,16,0
예산군지부,16,0
양주시청,16,0
양천,16,0
예산군주민지원센터,16,0
양천구수어통역센터,16,0
양천구주민지원센터,16,0
양천구지부,16,0
예산군수어통역센터,16,0
양치,16,0
양털,16,0
양평,16,0
예쁘다,16,0
양평군수어통역센터,16,0
양평군주민지원센터,16,0
양평군지부,16,0
예금,16,0
예고,16,0
예견,16,0
어른,16,0
어리석다,16,0
어린이날,16,0
어린이대공원,16,0
영천시청,16,0
영천시지부,16,0
어림없다,16,0
영암군주민지원센터,16,0
영아,16,0
예술,16,0
연희맛로,16,0
여행지,16,0
역겹다,16,0
역력하다,16,0
연구소,16,0
연구실,16,0
연기,16,0
열아홉번째,16,0
열심,16,0
열세번째,16,0
열번째,16,0
열배,16,0
열명,16,0
열두번째,16,0
연꽃,16,0
여드름,16,0
연합,16,0
연하다,16,0
연령제한,16,0
연패,16,0
연초,16,0
연천군지부,16,0
연말,16,0
연천군주민지원센터,16,0
연설,16,0
연설문,16,0
연애편지,16,0
연천,16,0
연천군수어통역센터,16,0
여행자,16,0
여행사,16,0
염색,16,0
여학생,16,0
여리다,16,0
여배우,16,0
여섯명,16,0
여섯배,16,0
영문법,16,0
여섯번째,16,0
여성복,16,0
여성학과,16,0
여수,16,0
영등포구주민지원센터,16,0
영등포구수어통역센터,16,0
여수시수어통역센터,16,0
여수시지부,16,0
여수시청,16,0
여아,16,0
